,brief,header,pub_time,url
0,高仿真驾驶模拟系统服务商—星系核科技正式对外宣布完成百万元种子轮融资，投资方为个人投资者高思阳和温都苏苏。,星系核科技完成百万元种子轮融资,20:37,http://www.tmtpost.com/nictation/3606682.html
1,研究人员分析了 2016 年到 2017 年之间 Twitter 上的 1400 万条信息，发现 6% 的机器人账号扩散了 31% 的“低可信度”消息。,Twitter机器人账号可在数秒内快速传播不可信消息,20:36,http://www.tmtpost.com/nictation/3606680.html
2,OPPO全球副总裁、中国大陆事业部总裁沈义人在接受节目采访时表示，“在明年，我们的研发投入，大概目前预算是40个亿，当然有好的项目是不设上限的。”,OPPO全球副总：好的项目不设上限，明年研发投入预算40个亿,20:33,http://www.tmtpost.com/nictation/3606675.html
3,齐家网宣布战略升级，将在生态供应链体系、深化家装信息化建设、家装生态金融场景三个方面发力。,齐家网宣布战略升级，并推出齐家装企贷和专享贷,20:17,http://www.tmtpost.com/nictation/3606655.html
4,当地时间11月22日，法国呼吁欧洲电池制造商和汽车制造商成立一个联盟，以满足预期的电动汽车电池需求，并与目前占主导地位的亚洲生产商展开竞争。,摆脱对亚洲依赖，法国呼吁欧洲电池制造商和车企结成联盟,20:17,http://www.tmtpost.com/nictation/3606653.html
5,美国纽约交易所上市公司搜房网拥有的房天下网站对房源信息发布主体的审核环节存在漏洞，致使他人可以盗用其它房地产经纪机构的营业执照或变造其他经纪人员信息卡。,严查互联网房源信息发布“李鬼”，北京住建委约谈房天下,20:15,http://www.tmtpost.com/nictation/3606651.html
6,"中泰证券与通州区政府举行优质科技企业纾困发展基金战略合作协议签约仪式，拟设立百亿优质科技企业纾困发展基金,支持北京城市副中心高科技民营企业发展。",中泰证券与北京市通州区政府拟设立百亿纾困基金,19:53,http://www.tmtpost.com/nictation/3606623.html
7,英国威尔士斯旺西市，亚马逊工人工会成员在“黑五”当天举行抗议，以此引起人们对亚马逊“不人道工作条件”的关注，要求提高工资标准。,"""黑五""来临英国亚马逊公司员工举行抗议，要求涨工资",19:41,http://www.tmtpost.com/nictation/3606610.html
8,近日有部分网易理财投资者表示收到了网易理财短信，短信称其因内部业务调整，公司将于2018年12月1日下线网易理财所有产品。,网易理财将于12月1日下线所有产品,19:17,http://www.tmtpost.com/nictation/3606584.html
9,非或然引擎将大部分前期工作内嵌入产品，成为一款可“即插即用”的软件。,氪信发布新一代“非或然”AI引擎,19:08,http://www.tmtpost.com/nictation/3606572.html
10,"报告显示期内净收入为人民币5.17亿元 (7530万美元), 较上年同期增长95.8%。同时，净亏损为人民币2.263亿元(3290万美元)，较上年同期下降12.7%。",尚德机构Q3财报：净收入5.17亿元，较同期增长95.8%,19:07,http://www.tmtpost.com/nictation/3606570.html
11,教育信息化综合服务提供商校宝在线发布了全新品牌标识，并启用新Logo及品牌口号。,校宝在线宣布品牌升级，与钉钉试点推进特殊教育学校SaaS服务,19:02,http://www.tmtpost.com/nictation/3606563.html
12,作为主打游戏与电竞的主播平台，这是斗鱼第一次举办只有音乐表演内容的线下活动。,斗鱼举办直播业内首个大型音乐节,18:47,http://www.tmtpost.com/nictation/3606547.html
13,监测结果显示广告禁用语问题比较突出，绝对化用语、虚假性词语和明示、暗示医疗效果出现次数最多。,南京市调查天猫、京东等：“双十一”期间广告禁用语问题突出,18:46,http://www.tmtpost.com/nictation/3606545.html
14,据悉，燕山大学将依托机械电子工程专业建设机器人工程专业方向，依托自动化专业建设智能控制与机器人专业方向，依托计算机科学与技术专业等方向。,燕山大学设立人工智能与机器人学院,18:42,http://www.tmtpost.com/nictation/3606538.html
15,要求股份回购信息披露具备明确预期；针对个别公司在股份回购中预期不明、随意变更的情况，《回购细则》要求上市公司在回购股份方案中，必须明确回购数量或资金总额的上下限。,上交所发布《上海证券交易所上市公司回购股份实施细则（征求意见稿）》,18:20,http://www.tmtpost.com/nictation/3606512.html
16,据The Verge报道，伊隆·马斯克旗下火箭公司SpaceX最近升级了一艘回收船，船员们刚刚对其进行了测试，以演练在宇航员返回地球后受伤时如何展开营救。,SpaceX升级回收船：加了停机坪能送宇航员去医院,18:16,http://www.tmtpost.com/nictation/3606505.html
17,金融研究院投行部总监张奥平：“讨论科创板能否成为中国版纳斯达克并不重要，重要的是，科创板将是我国A股市场中，唯一可以与纳斯达克、港交所竞争新经济、科技创新型企业的市场。“,张奥平：科创板将是A股中唯一可与纳斯达克竞争新经济的市场,18:13,http://www.tmtpost.com/nictation/3606500.html
18,恒星科技公告，子公司恒星化学今日与达拉特旗人民政府签订框架协议，拟投资30亿元，建设“年产12万吨高性能有机硅聚合物”项目。,恒星科技：拟投30亿建“年产12万吨高性能有机硅聚合物”项目,17:37,http://www.tmtpost.com/nictation/3606396.html
19,《文件》指出，在世界经济深刻调整，单边主义和保护主义抬头，多边贸易体制遭受严重冲击的情况下，中方支持对世贸组织进行改革，以增强其权威性和有效性。,商务部公布中国关于WTO改革的三大原则五点主张,17:24,http://www.tmtpost.com/nictation/3606374.html
